id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
42570,KE-6055,small_airport,Turkwel Gorge Airport,1.895681,35.38826,2625,AF,KE,KE-700,Turkwel Gorge,no,,,,,,
1095,CJM4,small_airport,Gravelbourg Airport,49.86620712,-106.5710754,2296,NA_,CA,CA-SK,Gravelbourg,no,CJM4,,CJM4,,https://en.wikipedia.org/wiki/Gravelbourg_Airport,JM4
10623,3MO1,heliport,Police Department Helicopter Maint Facility Heliport,39.04579926,-94.49749756,855,NA_,US,US-MO,Kansas City,no,3MO1,,3MO1,,,
23228,NM08,small_airport,Solo Ranch Airport,32.262532,-107.393332,4200,NA_,US,US-NM,Deming,no,NM08,,NM08,,,
2807,FAMB,small_airport,Middelburg Airport,-25.68479919,29.44020081,4886,AF,ZA,ZA-MP,Middelburg,no,FAMB,,,,,
787,CCW4,small_airport,Stanley Airport,45.1006012,-63.92060089,95,NA_,CA,CA-NS,Stanley,no,CCW4,,CCW4,,https://en.wikipedia.org/wiki/Stanley_Airport,CW4
10781,3SD6,small_airport,Running Colors Airport,44.20220184,-103.0790024,2920,NA_,US,US-SD,Rapid City,no,3SD6,,3SD6,,,
23014,NH61,small_airport,Heaton Airport,42.9681015,-71.18119812,188,NA_,US,US-NH,Chester,no,NH61,,NH61,,,
21936,PAMD,small_airport,Middleton Island Airport,59.44990158,-146.3070068,100,NA_,US,US-AK,Middleton Island,no,PAMD,MDO,MDO,,https://en.wikipedia.org/wiki/Middleton_Island_Airport,
45740,23PN,heliport,Penn Highlands Clearfield Heliport,41.034006,-78.450147,1160,NA_,US,US-PA,Clearfield,no,23PN,,23PN,,,Clearfield Hospital
10994,42II,closed,Norm's Airpark,41.684502,-86.767799,740,NA_,US,US-IN,La Porte,no,,,,,,42II
9428,2IA1,heliport,Finley Hospital Heliport,42.49580002,-90.68489838,900,NA_,US,US-IA,Dubuque,no,2IA1,,2IA1,,,
22199,MN95,small_airport,Velo Airstrip,46.51110077,-96.19200134,1386,NA_,US,US-MN,Rothsay,no,MN95,,MN95,,,
5263,OPMR,medium_airport,Masroor Air Base,24.89360046,66.938797,35,AS,PK,PK-SD,Karachi,no,OPMR,,,,https://en.wikipedia.org/wiki/Masroor_Airbase,
9885,2XA5,small_airport,Someday Ranch Airport,29.80369949,-97.69120026,466,NA_,US,US-TX,Lockhart,no,2XA5,,2XA5,,,
322368,US-0465,small_airport,Falwell Freeway,35.465008,-91.362532,,NA_,US,US-AR,Possum Grape,no,FALF,,FALF,,,
26761,WALQ,small_airport,Muara Badak Pujangan Airport,-0.306075007,117.4160004,49,AS,ID,ID-KI,Muara Badak-Borneo Island,no,WALQ,,,,,
16937,CO84,small_airport,Idlers Field,39.60829926,-102.5410004,4159,NA_,US,US-CO,Kirk,no,CO84,,CO84,,,
16302,AR08,small_airport,Flying Machines Airstrip,36.31529999,-93.66660309,1150,NA_,US,US-AR,Eureka Springs,no,AR08,,AR08,,,
27183,YWYM,small_airport,Wyndham Airport,-15.51140022,128.1529999,14,OC,AU,AU-WA,,no,YWYM,WYN,,,,
42398,NA-0133,small_airport,Aris Landrig Strip,-22.7563839,17.13526726,5820,AF,NA_,NA-KH,Aris,no,,,,,,
335788,US-1301,closed,Baird Ranch Airstrip,30.276247,-98.310106,,NA_,US,US-TX,Johnson City,no,,,,,,
42681,KE-0038,small_airport,Olpejeta Airport,0.030610999,36.90083313,5845,AF,KE,KE-700,Olpejeta,no,,,,,,
36072,SIKT,heliport,Joaquim Floriano Heliport,-23.583339,-46.670984,2687,SA,BR,BR-SP,São Paulo,no,SIKT,,SP0519,,,
330878,RU-0501,closed,Bogoslovo Airport,56.192328,40.31477,500,EU,RU,RU-VLA,Vladimir,no,,,,,,
308384,MX-0021,small_airport,Todos Santos Airstrip,23.498333,-110.201944,432,NA_,MX,MX-BCS,Todos Santos,no,,,TSN,,https://en.wikipedia.org/wiki/Todos_Santos_Airstrip,
35787,SDWL,small_airport,Três Marias Airport,-23.19166756,-47.07500076,2566,SA,BR,BR-SP,Itupeva,no,SDWL,,,,,
1552,CSR3,small_airport,Victoriaville Airport,46.1128006,-71.92890167,486,NA_,CA,CA-QC,Victoriaville,no,CSR3,,CSR3,,https://en.wikipedia.org/wiki/Victoriaville_Airport,SR3
329890,US-1031,closed,Crists' Sky Ranch Airport,40.622226,-96.901972,1465,NA_,US,US-NE,Crete,no,,,,,,7NE0
17472,G05,small_airport,Finleyville Airpark,40.2458992,-80.01229858,1240,NA_,US,US-PA,Finleyville,no,G05,,G05,,,
233,SIPG,small_airport,Fazenda Água Preta Airport,-14.137595,-51.469531,794,SA,BR,BR-MT,Cocalinho,no,SIPG,,MT0115,,,
20793,KP04,small_airport,Bisbee Municipal Airport,31.36400032,-109.8830032,4780,NA_,US,US-AZ,Bisbee,no,P04,BSQ,P04,http://www.discoverbisbee.com/about_air.htm,https://en.wikipedia.org/wiki/Bisbee_Municipal_Airport,
35531,SDGP,small_airport,Hotel Fazenda Capricho Airport,-23.221801,-48.790794,2099,SA,BR,BR-SP,Avaré,no,,,,,,SDGP
39291,SCTR,small_airport,Traiguén Airport,-38.27138901,-72.66249847,812,SA,CL,CL-AR,Traiguen,no,SCTR,,,,,
4038,LEST,large_airport,Santiago de Compostela Airport,42.89630127,-8.415140152,1213,EU,ES,ES-GA,Santiago de Compostela,yes,LEST,SCQ,,,https://en.wikipedia.org/wiki/Santiago_de_Compostela_Airport,
37930,SWJR,small_airport,Fazenda União Airport,-11.94888878,-54.51555634,1180,SA,BR,BR-MT,Santa Carmen,no,SWJR,,,,,
319040,MX-0177,heliport,Balder Platform Helipad,20.153239,-91.965086,50,NA_,MX,MX-CAM,Ciudad Del Carmen,no,,,BLR,,,
41019,SK-523,small_airport,Las Gaviotas Airport,4.583333,-70.833333,600,SA,CO,CO-VID,Las Gaviotas,no,,,,,,
10204,36OR,small_airport,Jasper Ridge Airstrip,44.00329971,-122.8799973,1125,NA_,US,US-OR,Springfield/Jasper,no,36OR,,36OR,,,
334572,JP-0207,heliport,Sumitomo Mitsui Bank East Tower Helipad,35.68467,139.76369,,AS,JP,JP-13,"Chiyoda, Tokyo",no,,,,,,
4872,MM20,small_airport,Ingeniero Juan Antonio Perdomo Diaz Airport,18.874201,-96.958199,2960,NA_,MX,MX-VER,Cordoba,no,MM20,,CRV,,https://es.wikipedia.org/wiki/Aeropuerto_Nacional_Ingeniero_Juan_Antonio_Perdomo_D%C3%ADaz,"Cordaba Airport, MX29"
326229,MX-0607,small_airport,El Guamuchil Airstrip,24.833722,-106.54809,771,NA_,MX,MX-DUR,Santiago Papasquiaro,no,,,EGM,,,
27116,YPOD,medium_airport,Portland Airport,-38.31809998,141.470993,265,OC,AU,AU-VIC,,yes,YPOD,PTJ,,,https://en.wikipedia.org/wiki/Portland_Airport_(Australia),
36023,SIIG,small_airport,Eliza Camargo de Arruda Botelho Airport,-22.359959,-51.101661,1756,SA,BR,BR-SP,Rancharia,no,SIIG,,SP0182,,,
298381,CA-0459,small_airport,Seagrave Airfield,44.16689103,-78.93502951,,NA_,CA,CA-ON,,no,,,,,,
36216,SIQV,small_airport,Fazenda Matão Airport,-12.891057,-58.57503,1499,SA,BR,BR-MT,Sapezal,no,SIQV,,MT0120,,,Fazenda Sol Aberto
39059,SACL,small_airport,Laguna Larga Airport,-31,-63,1013,SA,AR,AR-X,Laguna Larga,no,SACL,,LRG,,,
298811,YBGD,small_airport,Boolgeeda,-22.54,117.275,1871,OC,AU,AU-WA,,no,YBGD,OCM,,,,
28983,LFQH,small_airport,Châtillon Sur Seine Airfield,47.843924,4.580045,905,EU,FR,FR-BFC,,no,LFQH,,,,,
323697,BR-0218,small_airport,Goiatins Airstrip,-7.707254,-47.330409,,SA,BR,BR-TO,Goiatins,no,,,,,,
318135,LHLI,small_airport,Lipót,47.8575,17.4483333,,EU,HU,HU-GS,,no,LHLI,,,,,"Lipót,Szigetköz"
22683,N61,small_airport,Hinshaw (Greenacres) Airport,35.87369919,-79.52749634,750,NA_,US,US-NC,Liberty,no,N61,,N61,,,
26641,VTBK,medium_airport,Kamphaeng Saen Airport,14.10200024,99.91719818,30,AS,TH,TH-72,Nakhon Pathom,no,VTBK,KDT,,,,
316893,MX-0112,closed,Santiago Airport,19.4898,-97.5684,7730,NA_,MX,MX-PUE,Libres,no,,,SGS,,,
24081,PAPE,small_airport,Perryville Airport,55.905998,-159.162993,29,NA_,US,US-AK,Perryville,no,PAPE,KPV,PEV,,https://en.wikipedia.org/wiki/Perryville_Airport,AK05
17038,CT84,heliport,Partyka Chevrolet Heliport,41.37369919,-72.90869904,50,NA_,US,US-CT,Hamden,no,CT84,,CT84,,,
309696,YXKE,closed,Kempsey Hospital Helicopter Landing Site,-31.067128,152.821257,68,OC,AU,AU-NSW,Kempsey,no,YXKE,,YXKE,,,
333673,BR-0584,small_airport,Fazenda Reunidas Sococo,-1.224084,-48.041476,161,SA,BR,BR-PA,Santa Isabel do Pará,no,SISR,,PA0057,,,
45498,22MS,small_airport,Sky Landings Airport,30.840278,-88.574722,260,NA_,US,US-MS,Lucedale,no,22MS,,22MS,,,
2506,EGXW,medium_airport,RAF Waddington,53.16619873,-0.523810983,231,EU,GB,GB-ENG,Waddington,no,EGXW,WTN,,http://www.raf.mod.uk/rafwaddington,https://en.wikipedia.org/wiki/RAF_Waddington,
42576,KE-6066,small_airport,Ngerende Airport,-1.083519,35.18565,5510,AF,KE,KE-700,Ngerende,no,,,,,,
328338,KR-0855,heliport,Korea Telecommunications (KT) Building Heliport,37.521923,126.919062,,AS,KR,KR-11,Seoul,no,,,,,,"Korea Telecommunications, KT"
20861,KPPQ,small_airport,Pittsfield Penstone Municipal Airport,39.63890076,-90.77839661,710,NA_,US,US-IL,Pittsfield,no,KPPQ,,PPQ,,,
324118,BO-0014,small_airport,Espiritu Airstrip,-16.226916,-60.546454,,SA,BO,BO-S,Espiritu,no,,,,,,
5775,SADF,medium_airport,San Fernando Airport,-34.4532,-58.5896,10,SA,AR,AR-B,San Fernando,no,SADF,FDO,FDO,,,
