Rule : airports.t0.scheduled_service == airports.t1.scheduled_service -> airports.t0.home_link == airports.t1.home_link, supp: 317893143, conf:0.9143360472020419
Rule : airports.t0.scheduled_service == airports.t1.scheduled_service -> airports.t0.iata_code == airports.t1.iata_code, supp: 279835131, conf:0.8048721816777457
Rule : airports.t0.scheduled_service == airports.t1.scheduled_service -> airports.t0.wikipedia_link == airports.t1.wikipedia_link, supp: 268450237, conf:0.7721265273376197
Rule : airports.t0.type == airports.t1.type -> airports.t0.scheduled_service == airports.t1.scheduled_service, supp: 161583096, conf:0.9500381577825455
Rule : airports.t0.type == airports.t1.type -> airports.t0.home_link == airports.t1.home_link, supp: 154252840, conf:0.9069394483339133
Rule : airports.t0.continent == airports.t1.continent -> airports.t0.scheduled_service == airports.t1.scheduled_service, supp: 111363235, conf:0.9120671587563942
Rule : airports.t0.continent == airports.t1.continent -> airports.t0.home_link == airports.t1.home_link, supp: 111113673, conf:0.910023240902593
Rule : airports.t0.type == airports.t1.type -> airports.t0.iata_code == airports.t1.iata_code, supp: 132844512, conf:0.7810678132569093
Rule : airports.t0.type == airports.t1.type -> airports.t0.wikipedia_link == airports.t1.wikipedia_link, supp: 129758804, conf:0.7629251955181401
Rule : airports.t0.iso_country == airports.t1.iso_country -> airports.t0.continent == airports.t1.continent, supp: 72431101, conf:0.9990349383675984
Rule : airports.t0.type == airports.t1.type ^ airports.t0.scheduled_service == airports.t1.scheduled_service -> airports.t0.keywords == airports.t1.keywords, supp: 121646699, conf:0.7528429815012517
Rule : airports.t0.scheduled_service == airports.t1.scheduled_service ^ airports.t1.iso_country == US ^ airports.t0.iso_country == US -> airports.t0.continent == airports.t1.continent, supp: 63456981, conf:0.9997490582950909
Rule : airports.t0.iso_country == airports.t1.iso_country -> airports.t0.iso_country == US, supp: 69066709, conf:0.9526302157006816
Rule : airports.t0.continent == airports.t1.continent -> airports.t0.iata_code == airports.t1.iata_code, supp: 95194453, conf:0.7796445054517239
Rule : airports.t0.iso_country == airports.t1.iso_country -> airports.t0.scheduled_service == airports.t1.scheduled_service, supp: 66699131, conf:0.9199744489284702
Rule : airports.t0.iso_country == airports.t1.iso_country -> airports.t0.wikipedia_link == airports.t1.wikipedia_link, supp: 66308449, conf:0.9145858111416261
Rule : airports.t0.continent == airports.t1.continent ^ airports.t0.iso_country == US -> airports.t0.iso_country == airports.t1.iso_country, supp: 66292165, conf:0.82008542960026
Rule : airports.t0.continent == airports.t1.continent ^ airports.t1.iso_country == US -> airports.t0.iso_country == US, supp: 66292165, conf:0.82008542960026
Rule : airports.t0.continent == airports.t1.continent ^ airports.t1.iso_country == US -> airports.t0.iso_country == airports.t1.iso_country, supp: 66292165, conf:0.82008542960026
Rule : airports.t0.type == airports.t1.type ^ airports.t1.iso_country == US ^ airports.t0.iso_country == US -> airports.t0.continent == airports.t1.continent, supp: 27657749, conf:0.9998384077575266
Rule : airports.t0.iso_country == airports.t1.iso_country -> airports.t0.iata_code == airports.t1.iata_code, supp: 60192405, conf:0.830227827399345
Rule : airports.t0.iso_country == airports.t1.iso_country -> airports.t0.home_link == airports.t1.home_link, supp: 57802913, conf:0.7972698030149045
Rule : airports.t0.type == airports.t1.type ^ airports.t1.iso_country == US -> airports.t0.keywords == airports.t1.keywords, supp: 53870152, conf:0.7926973168073503
Rule : airports.t0.scheduled_service == airports.t1.scheduled_service ^ airports.t1.iso_country == BR ^ airports.t0.iso_country == BR -> airports.t0.continent == airports.t1.continent, supp: 2984129, conf:1.0
Rule : airports.t0.iso_region == airports.t1.iso_region -> airports.t0.iso_country == airports.t1.iso_country, supp: 2935737, conf:1.0
Rule : airports.t0.iso_region == airports.t1.iso_region -> airports.t0.continent == airports.t1.continent, supp: 2934063, conf:0.9994297854337769
