rule,supp,conf
t0.scheduled_service = t1.scheduled_service -> t0.home_link = t1.home_link, supp: 317893143, conf: 0.9143360472020419
t0.scheduled_service = t1.scheduled_service -> t0.iata_code = t1.iata_code, supp: 279835131, conf: 0.8048721816777457
t0.scheduled_service = t1.scheduled_service -> t0.wikipedia_link = t1.wikipedia_link, supp: 268450237, conf: 0.7721265273376197
t0.type = t1.type -> t0.scheduled_service = t1.scheduled_service, supp: 161583096, conf: 0.9500381577825455
t0.type = t1.type -> t0.home_link = t1.home_link, supp: 154252840, conf: 0.9069394483339133
t0.continent = t1.continent -> t0.scheduled_service = t1.scheduled_service, supp: 111363235, conf: 0.9120671587563942
t0.continent = t1.continent -> t0.home_link = t1.home_link, supp: 111113673, conf: 0.910023240902593
t0.type = t1.type -> t0.iata_code = t1.iata_code, supp: 132844512, conf: 0.7810678132569093
t0.type = t1.type -> t0.wikipedia_link = t1.wikipedia_link, supp: 129758804, conf: 0.7629251955181401
t0.iso_country = t1.iso_country -> t0.continent = t1.continent, supp: 72431101, conf: 0.9990349383675984
t0.type = t1.type ^ t0.scheduled_service = t1.scheduled_service -> t0.keywords = t1.keywords, supp: 121646699, conf: 0.7528429815012517
t0.scheduled_service = t1.scheduled_service ^ t1.iso_country = US ^ t0.iso_country = US -> t0.continent = t1.continent, supp: 63456981, conf: 0.9997490582950909
t0.iso_country = t1.iso_country -> t0.iso_country = US, supp: 69066709, conf: 0.9526302157006816
t0.continent = t1.continent -> t0.iata_code = t1.iata_code, supp: 95194453, conf: 0.7796445054517239
t0.iso_country = t1.iso_country -> t0.scheduled_service = t1.scheduled_service, supp: 66699131, conf: 0.9199744489284702
t0.iso_country = t1.iso_country -> t0.wikipedia_link = t1.wikipedia_link, supp: 66308449, conf: 0.9145858111416261
t0.continent = t1.continent ^ t0.iso_country = US -> t0.iso_country = t1.iso_country, supp: 66292165, conf: 0.82008542960026
t0.continent = t1.continent ^ t1.iso_country = US -> t0.iso_country = US, supp: 66292165, conf: 0.82008542960026
t0.continent = t1.continent ^ t1.iso_country = US -> t0.iso_country = t1.iso_country, supp: 66292165, conf: 0.82008542960026
t0.type = t1.type ^ t1.iso_country = US ^ t0.iso_country = US -> t0.continent = t1.continent, supp: 27657749, conf: 0.9998384077575266
t0.iso_country = t1.iso_country -> t0.iata_code = t1.iata_code, supp: 60192405, conf: 0.830227827399345
t0.iso_country = t1.iso_country -> t0.home_link = t1.home_link, supp: 57802913, conf: 0.7972698030149045
t0.type = t1.type ^ t1.iso_country = US -> t0.keywords = t1.keywords, supp: 53870152, conf: 0.7926973168073503
t0.scheduled_service = t1.scheduled_service ^ t1.iso_country = BR ^ t0.iso_country = BR -> t0.continent = t1.continent, supp: 2984129, conf: 1.0
t0.iso_region = t1.iso_region -> t0.iso_country = t1.iso_country, supp: 2935737, conf: 1.0
t0.iso_region = t1.iso_region -> t0.continent = t1.continent, supp: 2934063, conf: 0.9994297854337769
t0.iso_region = t1.iso_region ^ t1.iso_country = US -> t0.iso_country = US, supp: 2145052, conf: 1.0
t0.type = t1.type ^ t1.iso_country = BR ^ t0.iso_country = BR -> t0.continent = t1.continent, supp: 1719711, conf: 1.0
t0.iso_region = t1.iso_region ^ t1.iso_country = BR -> t0.iso_country = BR, supp: 286530, conf: 1.0
